,id,frequency
0,Afghanistan,98
1,Albania,64
2,Algeria,1389
3,Angola,355
4,Antigua and Barbuda,1
5,Argentina,160
6,Armenia,13
7,Australia,37
8,Austria,35
9,Azerbaijan,31
10,Bahamas,2
11,Bahrain,37
12,Bangladesh,473
13,Barbados,1
14,Belarus,4
15,Belgium,30
16,Belize,5
17,Benin,7
18,Bolivia,92
19,Bosnia-Herzegovina,126
20,Botswana,2
21,Brazil,157
22,Brunei,1
23,Bulgaria,32
24,Burkina Faso,2
25,Burundi,248
26,Cambodia,233
27,Cameroon,19
28,Canada,21
29,Central African Republic,7
30,Chad,14
31,Chile,454
32,China,112
33,Colombia,2833
34,Comoros,5
35,Costa Rica,8
36,Croatia,46
37,Cuba,29
38,Cyprus,49
39,Czech Republic,11
40,Czechoslovakia,5
41,Democratic Republic of the Congo,8
42,Denmark,12
43,Djibouti,13
44,Dominica,1
45,Dominican Republic,43
46,Ecuador,74
47,Egypt,424
48,El Salvador,752
49,Equatorial Guinea,1
50,Eritrea,3
51,Estonia,12
52,Ethiopia,52
53,Fiji,7
54,Finland,3
55,France,919
56,French Guiana,4
57,French Polynesia,3
58,Gabon,3
59,Gambia,2
60,Georgia,105
61,Germany,543
62,Ghana,16
63,Greece,301
64,Guadeloupe,1
65,Guatemala,427
66,Guinea,5
67,Guyana,12
68,Haiti,157
69,Honduras,105
70,Hong Kong,16
71,Hungary,38
72,India,1790
73,Indonesia,198
74,Iran,103
75,Iraq,125
76,Ireland,49
77,Israel,362
78,Italy,122
79,Ivory Coast,15
80,Jamaica,19
81,Japan,197
82,Jordan,33
83,Kazakhstan,8
84,Kenya,66
85,Kosovo,39
86,Kuwait,24
87,Kyrgyzstan,8
88,Laos,7
89,Latvia,12
90,Lebanon,521
91,Lesotho,3
92,Liberia,21
93,Libya,6
94,Lithuania,8
95,Luxembourg,3
96,Macau,33
97,Macedonia,12
98,Madagascar,14
99,Malawi,3
100,Malaysia,8
101,Mali,33
102,Malta,4
103,Martinique,2
104,Mauritania,1
105,Mexico,265
106,Moldova,16
107,Morocco,9
108,Mozambique,84
109,Myanmar,115
110,Namibia,5
111,Nepal,34
112,Netherlands,44
113,New Caledonia,2
114,New Zealand,5
115,Nicaragua,196
116,Niger,38
117,Nigeria,74
118,North Korea,1
119,Norway,7
120,Pakistan,1604
121,Panama,86
122,Papua New Guinea,55
123,Paraguay,25
124,Peru,1781
125,Philippines,946
126,Poland,31
127,Portugal,5
128,Qatar,1
129,Republic of the Congo,15
130,Romania,3
131,Russia,328
132,Rwanda,128
133,Saudi Arabia,8
134,Senegal,68
135,Sierra Leone,73
136,Singapore,3
137,Slovak Republic,16
138,Slovenia,5
139,Solomon Islands,1
140,Somalia,151
141,South Africa,845
142,South Korea,19
143,Soviet Union,70
144,Spain,586
145,Sri Lanka,841
146,St. Kitts and Nevis,2
147,Sudan,38
148,Suriname,16
149,Swaziland,6
150,Sweden,33
151,Switzerland,22
152,Syria,4
153,Taiwan,38
154,Tajikistan,159
155,Tanzania,4
156,Thailand,126
157,Togo,44
158,Trinidad and Tobago,10
159,Tunisia,4
160,Turkey,1665
161,Uganda,129
162,Ukraine,26
163,United Arab Emirates,3
164,United Kingdom,1214
165,United States,368
166,Uruguay,23
167,Uzbekistan,11
168,Vanuatu,2
169,Venezuela,132
170,Vietnam,6
171,Wallis and Futuna,1
172,West Bank and Gaza Strip,597
173,Western Sahara,1
174,Yemen,107
175,Yugoslavia,155
176,Zaire,41
177,Zambia,16
178,Zimbabwe,11
