,id,frequency
0,Afghanistan,4
1,Algeria,4
2,Andorra,1
3,Angola,6
4,Argentina,329
5,Australia,15
6,Austria,27
7,Bahamas,1
8,Bahrain,1
9,Bangladesh,2
10,Barbados,2
11,Belgium,29
12,Bolivia,23
13,Botswana,1
14,Brazil,31
15,Brunei,5
16,Cambodia,5
17,Canada,7
18,Chad,1
19,Chile,72
20,Colombia,419
21,Costa Rica,22
22,Cyprus,13
23,Czechoslovakia,1
24,Denmark,4
25,Djibouti,2
26,Dominican Republic,13
27,Ecuador,26
28,Egypt,7
29,El Salvador,445
30,Ethiopia,28
31,France,475
32,Gabon,1
33,Germany,292
34,Greece,143
35,Guatemala,121
36,Guyana,3
37,Haiti,3
38,Honduras,7
39,India,24
40,Indonesia,3
41,Iran,177
42,Iraq,6
43,Ireland,39
44,Israel,192
45,Italy,1021
46,Jamaica,5
47,Japan,75
48,Jordan,23
49,Kenya,7
50,Kuwait,5
51,Lebanon,100
52,Lesotho,2
53,Libya,3
54,Malaysia,7
55,Malta,1
56,Mauritania,4
57,Mexico,114
58,Morocco,6
59,Mozambique,7
60,Myanmar,22
61,Namibia,42
62,Netherlands,27
63,New Zealand,1
64,Nicaragua,290
65,Nigeria,1
66,North Yemen,4
67,Norway,1
68,Pakistan,17
69,Panama,7
70,Paraguay,2
71,People's Republic of the Congo,3
72,Peru,19
73,Philippines,124
74,Poland,2
75,Portugal,55
76,Rhodesia,70
77,Saudi Arabia,2
78,Singapore,1
79,Somalia,1
80,South Africa,42
81,South Korea,1
82,South Vietnam,1
83,South Yemen,1
84,Soviet Union,1
85,Spain,901
86,Sri Lanka,4
87,Sudan,1
88,Sweden,8
89,Switzerland,32
90,Syria,40
91,Taiwan,2
92,Tanzania,2
93,Thailand,26
94,Trinidad and Tobago,2
95,Tunisia,1
96,Turkey,484
97,Uganda,8
98,United Arab Emirates,5
99,United Kingdom,1644
100,United States,1475
101,Uruguay,48
102,Venezuela,37
103,West Bank and Gaza Strip,28
104,Western Sahara,1
105,Yugoslavia,3
106,Zaire,5
107,Zambia,8
